epoch,loss,val_acc,test_acc,epoch_time_s
433,0.0168,0.7220,0.7100,0.036
434,0.0252,0.7400,0.7420,0.031
435,0.0189,0.7740,0.7720,0.025
436,0.0114,0.7620,0.7640,0.026
437,0.0227,0.7540,0.7670,0.028
438,0.0364,0.7700,0.7540,0.023
439,0.0160,0.7620,0.7300,0.027
440,0.0267,0.7240,0.7040,0.030
441,0.0204,0.7160,0.7000,0.027
442,0.0297,0.7520,0.7500,0.033
443,0.0157,0.7680,0.7760,0.028
444,0.0131,0.7760,0.7890,0.027
445,0.0144,0.7760,0.7940,0.025
446,0.0209,0.7800,0.7930,0.025
447,0.0132,0.7740,0.7780,0.033
448,0.0186,0.7840,0.7690,0.027
449,0.0126,0.7720,0.7450,0.032
450,0.0349,0.7740,0.7570,0.032
451,0.0162,0.7620,0.7550,0.026
452,0.0250,0.7700,0.7580,0.025
453,0.0198,0.7640,0.7770,0.036
454,0.0193,0.7540,0.7700,0.030
455,0.0224,0.7600,0.7710,0.034
456,0.0188,0.7740,0.7660,0.030
457,0.0210,0.7620,0.7520,0.033
458,0.0153,0.7420,0.7160,0.032
459,0.0188,0.7240,0.7220,0.036
460,0.0245,0.7560,0.7570,0.033
461,0.0159,0.7780,0.7930,0.035
462,0.0203,0.7700,0.7840,0.025
463,0.0224,0.7660,0.7690,0.040
464,0.0279,0.7420,0.7490,0.032
465,0.0197,0.7300,0.7330,0.023
466,0.0165,0.7320,0.7270,0.037
467,0.0182,0.7600,0.7520,0.038
468,0.0196,0.7660,0.7660,0.026
469,0.0277,0.7760,0.7850,0.031
470,0.0111,0.7540,0.7810,0.026
471,0.0222,0.7360,0.7660,0.026
472,0.0241,0.7440,0.7550,0.021
473,0.0146,0.7560,0.7550,0.031
474,0.0068,0.7520,0.7610,0.030
475,0.0102,0.7480,0.7470,0.032
476,0.0242,0.7620,0.7580,0.029
477,0.0237,0.7700,0.7770,0.029
478,0.0071,0.7680,0.7890,0.027
479,0.0112,0.7480,0.7800,0.026
480,0.0100,0.7420,0.7740,0.030
481,0.0200,0.7640,0.7840,0.035
482,0.0195,0.7580,0.7740,0.022
483,0.0085,0.7460,0.7530,0.033
484,0.0131,0.7400,0.7310,0.032
485,0.0249,0.7400,0.7440,0.032
486,0.0139,0.7480,0.7690,0.030
487,0.0140,0.7860,0.7740,0.022
488,0.0147,0.7700,0.7750,0.032
489,0.0147,0.7800,0.7700,0.030
490,0.0264,0.7640,0.7560,0.032
491,0.0098,0.7520,0.7410,0.030
492,0.0178,0.7560,0.7520,0.027
493,0.0165,0.7620,0.7620,0.031
494,0.0149,0.7740,0.7650,0.028
495,0.0186,0.7740,0.7640,0.035
496,0.0161,0.7400,0.7420,0.029
497,0.0297,0.7440,0.7420,0.030
498,0.0283,0.7660,0.7530,0.028
499,0.0073,0.7620,0.7430,0.032
500,0.0191,0.7360,0.7310,0.038
501,0.0510,0.7780,0.7640,0.036
502,0.0078,0.7540,0.7620,0.027
503,0.0115,0.7240,0.7390,0.033
504,0.0769,0.7680,0.7670,0.028
505,0.0206,0.7460,0.7430,0.034
506,0.0595,0.7620,0.7510,0.029
507,0.0281,0.7640,0.7540,0.027
508,0.0079,0.7640,0.7510,0.033
509,0.0182,0.7580,0.7530,0.034
510,0.0208,0.7740,0.7730,0.036
511,0.0096,0.7660,0.7840,0.030
512,0.0129,0.7620,0.7850,0.032
513,0.0251,0.7640,0.7760,0.030
514,0.0137,0.7540,0.7600,0.028
515,0.0148,0.7500,0.7620,0.030
516,0.0175,0.7400,0.7500,0.026
517,0.0190,0.7460,0.7580,0.029
518,0.0156,0.7560,0.7620,0.026
519,0.0196,0.7580,0.7690,0.031
520,0.0242,0.7440,0.7510,0.028
521,0.0089,0.7280,0.7300,0.037
522,0.0211,0.7300,0.7370,0.032
523,0.0224,0.7520,0.7550,0.042
524,0.0161,0.7540,0.7640,0.048
525,0.0319,0.7600,0.7700,0.052
526,0.0129,0.7560,0.7580,0.043
527,0.0124,0.7480,0.7440,0.035
528,0.0250,0.7520,0.7500,0.031
529,0.0173,0.7400,0.7320,0.041
530,0.0130,0.7460,0.7520,0.038
531,0.0137,0.7560,0.7640,0.029
532,0.0110,0.7660,0.7790,0.035
533,0.0132,0.7620,0.7810,0.029
534,0.0284,0.7620,0.7680,0.025
535,0.0056,0.7580,0.7530,0.025
536,0.0121,0.7520,0.7340,0.036
537,0.0119,0.7520,0.7240,0.034
538,0.0210,0.7500,0.7400,0.030
539,0.0090,0.7580,0.7610,0.039
540,0.0096,0.7500,0.7730,0.031
541,0.0163,0.7540,0.7760,0.034
542,0.0253,0.7700,0.7790,0.023
543,0.0109,0.7600,0.7780,0.034
544,0.0311,0.7600,0.7790,0.030
545,0.0124,0.7520,0.7430,0.032
546,0.0179,0.7360,0.7260,0.031
547,0.0234,0.7560,0.7470,0.036
548,0.0103,0.7520,0.7670,0.032
549,0.0108,0.7600,0.7640,0.029
550,0.0191,0.7740,0.7660,0.028
551,0.0145,0.7720,0.7750,0.028
552,0.0085,0.7680,0.7810,0.030
553,0.0089,0.7660,0.7710,0.036
554,0.0183,0.7540,0.7570,0.034
555,0.0145,0.7480,0.7470,0.029
556,0.0195,0.7600,0.7570,0.026
557,0.0240,0.7480,0.7550,0.025
558,0.0129,0.7520,0.7510,0.037
559,0.0137,0.7500,0.7640,0.031
560,0.0214,0.7660,0.7760,0.028
561,0.0225,0.7740,0.7760,0.038
562,0.0157,0.7560,0.7680,0.036
563,0.0210,0.7580,0.7560,0.034
564,0.0094,0.7500,0.7570,0.031
565,0.0065,0.7480,0.7550,0.035
566,0.0132,0.7460,0.7440,0.034
567,0.0174,0.7540,0.7580,0.033
568,0.0122,0.7680,0.7760,0.026
569,0.0175,0.7720,0.7780,0.029
570,0.0076,0.7700,0.7750,0.028
571,0.0174,0.7700,0.7680,0.032
572,0.0138,0.7620,0.7430,0.026
573,0.0167,0.7420,0.7250,0.022
574,0.0327,0.7640,0.7610,0.030
575,0.0100,0.7680,0.7710,0.032
576,0.0123,0.7680,0.7670,0.028
577,0.0241,0.7660,0.7810,0.035
578,0.0140,0.7580,0.7660,0.033
579,0.0166,0.7180,0.7310,0.024
580,0.0331,0.7400,0.7450,0.036
581,0.0206,0.7640,0.7640,0.034
582,0.0088,0.7600,0.7700,0.028
583,0.0265,0.7580,0.7710,0.032
584,0.0225,0.7620,0.7790,0.030
585,0.0142,0.7720,0.7850,0.018
586,0.0091,0.7580,0.7620,0.035
587,0.0164,0.7420,0.7500,0.031
588,0.0183,0.7460,0.7540,0.031
589,0.0140,0.7500,0.7620,0.032
590,0.0163,0.7600,0.7570,0.029
591,0.0142,0.7700,0.7580,0.028
592,0.0206,0.7760,0.7710,0.028
593,0.0166,0.7560,0.7560,0.028
594,0.0149,0.7580,0.7480,0.030
595,0.0104,0.7460,0.7480,0.038
596,0.0146,0.7540,0.7620,0.032
597,0.0159,0.7480,0.7700,0.028
598,0.0096,0.7640,0.7670,0.030
599,0.0140,0.7640,0.7610,0.038
600,0.0112,0.7660,0.7640,0.035
601,0.0110,0.7600,0.7710,0.037
602,0.0133,0.7660,0.7810,0.029
603,0.0102,0.7660,0.7700,0.028
604,0.0164,0.7660,0.7710,0.025
605,0.0136,0.7720,0.7780,0.022
606,0.0094,0.7740,0.7770,0.035
607,0.0138,0.7740,0.7700,0.030
608,0.0111,0.7720,0.7670,0.035
609,0.0173,0.7680,0.7750,0.027
610,0.0120,0.7720,0.7770,0.031
611,0.0134,0.7720,0.7760,0.031
612,0.0205,0.7540,0.7630,0.036
613,0.0185,0.7500,0.7600,0.030
