.,8.259624481,
.,8.886736870,
.,8.494094849,
.,9.893754959,
.,9.146221161,
.,8.961359978,
.,8.045454979,
.,10.733874321,
.,7.828429222,
.,9.358083725,
.,7.301091194,
.,10.086668015,
.,9.204765320,
.,9.876281738,
.,8.095187187,
.,9.620961189,
.,9.854168892,
.,9.452268600,
.,9.264243126,
.,9.465292931,
.,9.985472679,
.,8.702575684,
.,10.722687721,
.,9.098564148,
.,7.755431175,
.,7.836894035,
.,8.257997513,
.,10.491697311,
.,9.356124878,
.,8.718112946,
.,9.390535355,
>,9.1,
-,1.0,
MAX REWD: 9.1 MODEL_ID: 3,
.,9.345268250,
.,8.868455887,
.,9.570500374,
.,7.618767738,
.,7.669919491,
.,8.763950348,
.,8.307498932,
.,8.428630829,
.,7.563070297,
.,7.834112644,
.,7.695992470,
.,11.143634796,
.,9.933049202,
.,9.144813538,
.,9.384286880,
.,8.407398224,
.,8.193300247,
.,8.666688919,
.,7.718626976,
.,7.939004898,
.,7.562187195,
.,6.963949203,
.,9.387786865,
.,7.728525162,
.,8.358754158,
.,10.028191566,
.,6.716575623,
.,7.194132328,
.,7.580914021,
.,7.447992325,
.,7.604331970,
.,6.910241604,
.,7.256323814,
.,6.277448177,
.,8.134691238,
.,7.824979782,
.,7.340684891,
.,7.445102692,
.,6.918431759,
.,6.710503101,
>,7.375,
-,1.0,
MAX REWD: 9.1 MODEL_ID: 3,
.,5.869398594,
.,6.512501717,
.,6.225304604,
.,7.385797501,
.,7.079175949,
.,7.178957939,
.,8.007399559,
.,6.807427883,
.,6.451170921,
.,5.921182632,
.,6.996572971,
.,8.212241173,
.,7.590522766,
.,6.621054649,
.,7.012087822,
.,6.711949825,
.,5.905580044,
.,6.885941505,
.,8.012764931,
.,6.568687439,
.,6.416073799,
.,6.040362358,
.,7.174007893,
.,8.650220871,
.,7.805412292,
.,5.793004990,
.,5.950573921,
.,5.922147751,
.,6.492200851,
.,7.656336784,
.,6.486178398,
.,6.785521030,
.,7.044667244,
.,7.443191528,
.,6.705208302,
.,7.682610989,
.,6.676727772,
.,6.700410843,
.,6.966997147,
.,7.900576591,
>,9.8875,
-,0.9046104802746175,
MAX REWD: 9.8875 MODEL_ID: 5,
.,7.546891212,
.,8.045606613,
.,6.858840942,
.,7.365389824,
.,7.199753761,
.,8.084480286,
.,7.709104538,
.,6.185169220,
.,6.664977074,
.,6.234956741,
.,6.513523102,
.,6.764228821,
.,7.397683620,
.,6.584787369,
.,6.847053528,
.,8.341423035,
.,7.660099983,
.,8.372385979,
.,7.619213104,
.,7.244204521,
.,7.843834400,
.,6.426071167,
.,6.983287811,
.,6.810297012,
.,6.433544159,
.,6.383228779,
.,6.000613689,
.,6.124611855,
.,6.270360947,
.,6.684985161,
.,6.336528778,
.,6.591362476,
.,7.611481667,
.,5.613776684,
.,5.650561333,
.,6.550236225,
.,7.086472511,
.,6.230149269,
.,7.269858837,
.,6.434227943,
>,9.0875,
-,0.7402609576967045,
MAX REWD: 9.8875 MODEL_ID: 5,
.,6.327483177,
.,6.800178528,
.,5.633676052,
.,5.769793987,
.,6.485876083,
.,5.583302975,
.,7.322178841,
.,5.882871628,
.,6.126381874,
.,6.592477798,
.,6.220591545,
.,7.224244595,
.,6.014720917,
.,6.823940277,
.,6.115253925,
.,6.138472557,
.,5.814313889,
.,6.590804100,
.,5.587330341,
.,6.706931114,
.,5.759054184,
.,6.577135563,
.,5.875561237,
.,6.755782127,
